perturbation_std,mae,rmse,avg_energy_change,std_energy_change,avg_stability_metric,t_statistic,p_value
0.1,7.747579729766585e-07,9.122771122114733e-07,7.316544724744744e-07,5.590699630194152e-07,4.707178265652833e-06,-5.85268121956986,1.2292441263802636e-05
0.2,9.499350426267483e-07,1.1455973896939197e-06,9.355672091260203e-07,6.783163184499132e-07,3.6106675129229338e-06,-6.168189737514078,6.294519760795867e-06
0.3,9.101471732719802e-07,1.0017417291326317e-06,7.675740562262945e-07,6.603958622188171e-07,1.8089252261279053e-06,-5.19793616428972,5.119241053580357e-05
0.4,7.139709509829118e-07,9.104945205897163e-07,5.680821800524427e-07,7.300201213742863e-07,1.228013161942143e-06,-3.4800968746237078,0.0025059831738831837
0.5,6.824722390774695e-07,7.952004617659713e-07,5.288469424158393e-07,6.092831732024219e-07,8.85640420665748e-07,-3.8817343558636557,0.0010038246721290086
