perturbation_std,perturbation_magnitude,pred_energy,energy_change,stability_metric
0.2,0.15505722505554734,-1551.3074490835854,1.7572967863088707e-06,1.1333214460313083e-05
0.2,0.41781676004641244,-1551.3074506419428,1.9893946046067867e-07,4.7614045063909305e-07
0.2,0.33141247145374747,-1551.3074507856213,5.526089807972312e-08,1.6674356828107803e-07
0.2,0.3493697757420546,-1551.3074498240815,1.0168007520405808e-06,2.9103855638052187e-06
0.2,0.25823727244802497,-1551.3074493377856,1.5030966551421443e-06,5.820603045838822e-06
0.2,0.3458773792423988,-1551.3074497135597,1.127322548200027e-06,3.259312737778212e-06
0.2,0.4080010499702664,-1551.3074505866819,2.542003585404018e-07,6.230384909465872e-07
0.2,0.3783417344325852,-1551.3074509845605,-1.436783350072801e-07,3.797580914111542e-07
0.2,0.2401138811255976,-1551.3074492825247,1.5583575532218674e-06,6.4900768971275e-06
0.3,0.44877320479582733,-1551.3074499677598,8.731224170333007e-07,1.945576089454754e-06
0.3,0.3125751811568726,-1551.3074501998556,6.410266450984636e-07,2.0507918847583466e-06
0.3,0.5876098946314604,-1551.307451382439,-5.415568011812866e-07,9.216264158192567e-07
0.3,0.5424340865239166,-1551.3074512829694,-4.4208718463778496e-07,8.15006275489275e-07
0.3,0.7458814700010249,-1551.3074499567076,8.841745966492454e-07,1.1854089853304568e-06
0.3,0.4003333202753614,-1551.307449801977,1.03890511127247e-06,2.595100278683697e-06
0.3,0.40367968304619245,-1551.3074495588291,1.2820530628232518e-06,3.1759167388143158e-06
0.3,0.509014019994018,-1551.3074495146204,1.3262617812870303e-06,2.605550591793251e-06
0.3,0.5241624444625171,-1551.3074507856213,5.526089807972312e-08,1.0542704585759791e-07
0.3,0.5206799517613762,-1551.3074512829694,-4.4208718463778496e-07,8.490574354886714e-07
0.3,0.4523049269052719,-1551.3074492714725,1.569409732837812e-06,3.46980463650691e-06
0.3,0.7069780649686831,-1551.3074501556468,6.852353635622421e-07,9.69245578355633e-07
0.3,0.5505243889890573,-1551.3074494704117,1.3704704997508088e-06,2.489391073152093e-06
0.3,0.6149134499426633,-1551.3074498461858,9.946963928086916e-07,1.6176201589665646e-06
0.3,0.6489761798803092,-1551.307450100386,7.404962616419652e-07,1.1410222508697205e-06
0.3,0.587244290722663,-1551.3074497577684,1.0831138297362486e-06,1.8444007828819046e-06
0.3,0.5194734450443157,-1551.3074504982644,3.426177954679588e-07,6.595482380678296e-07
0.3,0.5890066936790904,-1551.3074497246118,1.1162703685840825e-06,1.8951743339656248e-06
0.3,0.5588438631190676,-1551.3074491277941,1.7130880678450922e-06,3.0654144754803524e-06
0.3,0.3820124401902061,-1551.3074497798727,1.0610094705043593e-06,2.7774212528218577e-06
0.4,0.5964586381113158,-1551.3074497577684,1.0831138297362486e-06,1.8159076930872087e-06
0.4,0.7858779825762293,-1551.3074508740388,-3.315653884783387e-08,4.219044123735669e-08
0.4,0.771341641446125,-1551.307450045125,7.957571597216884e-07,1.0316533126963344e-06
0.4,0.49751594749637124,-1551.3074497467162,1.0941660093521932e-06,2.1992581637601636e-06
0.4,0.47172881381930304,-1551.3074513492825,-5.084002623334527e-07,1.077738410993955e-06
0.4,0.7983128139042986,-1551.3074503987948,4.420874120114604e-07,5.537771713746785e-07
0.4,0.7528247778524398,-1551.3074490504289,1.7904533251567045e-06,2.3783134901941516e-06
0.4,0.6728189607334759,-1551.307450166699,6.741831839462975e-07,1.0020276228706926e-06
0.4,0.5067131293470398,-1551.3074499567076,8.841745966492454e-07,1.7449214264767866e-06
0.4,0.4187465067937091,-1551.3074487078113,2.133070893250988e-06,5.0939431329809936e-06
0.4,0.8575210989074676,-1551.3074513603347,-5.194524419493973e-07,6.057605376131669e-07
0.4,1.0072149223659541,-1551.3074496030379,1.2378443443594733e-06,1.2289773679373927e-06
0.4,0.3710208459100186,-1551.3074502109077,6.29974465482519e-07,1.6979489757982707e-06
0.4,0.6092509783601616,-1551.3074509292996,-8.841743692755699e-08,1.451248172814195e-07
0.4,0.7801915136178442,-1551.307451017717,-1.7683487385511398e-07,2.2665572586459355e-07
0.4,0.3662815787356272,-1551.3074509735084,-1.326261553913355e-07,3.6208797563049956e-07
0.4,0.6099917613935592,-1551.3074496030379,1.2378443443594733e-06,2.0292804304907706e-06
0.4,0.6486800594553227,-1551.3074505535253,2.8735689738823567e-07,4.4298709842448673e-07
0.4,0.6055730576029589,-1551.3074503324817,5.084004897071281e-07,8.395361769157586e-07
0.4,0.5241320079711597,-1551.3074508187779,2.2104359231889248e-08,4.217326721417901e-08
0.5,0.819791429659606,-1551.3074514155956,-5.747133400291204e-07,7.010482412552766e-07
0.5,1.1273366949541015,-1551.3074504982644,3.426177954679588e-07,3.0391789513381927e-07
0.5,0.6460944895567454,-1551.3074500893338,7.515484412579099e-07,1.1632175375109446e-06
0.5,0.9213291595153046,-1551.307449790925,1.0499572908884147e-06,1.139611484050736e-06
0.5,0.805555445164412,-1551.307450708256,1.326261553913355e-07,1.6463938785467816e-07
0.5,0.7374650582376625,-1551.3074509735084,-1.326261553913355e-07,1.7984059568909102e-07
0.5,0.8731539637824762,-1551.3074496472466,1.1936356258956948e-06,1.367039119410508e-06
0.5,0.31738763650394897,-1551.307451194552,-3.5366974771022797e-07,1.1143148217570727e-06
0.5,0.7667247653552348,-1551.3074497135597,1.127322548200027e-06,1.4703092934929408e-06
0.5,0.55034862621957,-1551.3074501556468,6.852353635622421e-07,1.24509325687741e-06
0.5,0.6708820633762341,-1551.307449978812,8.620702374173561e-07,1.2849803033195785e-06
0.5,1.0054038599928585,-1551.3074492825247,1.5583575532218674e-06,1.5499816691353646e-06
0.5,0.5832120063029522,-1551.3074507966735,4.4208718463778496e-08,7.580214052252185e-08
0.5,0.7505135018764562,-1551.3074497246118,1.1162703685840825e-06,1.487342153931163e-06
0.5,0.8241185340888745,-1551.3074501114381,7.294440820260206e-07,8.851203458783563e-07
0.5,0.8481225017187547,-1551.307449912499,9.283833151130239e-07,1.0946335147601366e-06
0.5,0.657435045125547,-1551.3074510508736,-2.0999141270294785e-07,3.194101291495738e-07
0.5,0.9638066472445366,-1551.3074511061345,-2.65252310782671e-07,2.752131991551309e-07
0.5,0.928306229501152,-1551.3074499677598,8.731224170333007e-07,9.405543011474122e-07
0.5,0.7556141956118885,-1551.3074501224903,7.18391902410076e-07,9.507390232832455e-07
